aadb,2=嗷嗷待哺
gxvq,2=广西壮族自治区
gxvz,2=广西壮族
gxwu,2=攻心为上
gxya,2=高血压
gxyj,2=姑息养奸
gxyl,2=高薪养廉
gxyv,2=改弦易辙
gxzl,2=关心则乱
gxzu,2=工薪族
gybj,2=过犹不及
gybk,2=雇佣兵
gybq,2=过意不去
gyci,2=苟延残喘
gydh,2=公用电话
gydl,2=告一段落
gydm,2=高压电
gydr,2=过一段
gydx,2=工业大学
gyfm,2=皈依佛门
gygf,2=国有国法
gygh,2=各有各好
gygm,2=工业革命
gygo,2=高压锅
gyht,2=官运亨通
gyjl,2=鬼蜮伎俩
gyjy,2=冠亚军
gykr,2=狗眼看人
gylb,2=各有利弊
gylm,2=供应链
gylw,2=挂一漏万
gynz,2=顾影弄姿
gypb,2=工艺品
gyps,2=观音菩萨
gyqm,2=公元前
gyqq,2=各有千秋
gyqy,2=国有企业
gyrr,2=光阴荏苒
gysa,2=各有所爱
gysh,2=各有所好
gysi,2=各有所长
gysj,2=光阴似箭
gytr,2=挂羊头卖狗肉
gytt,2=过一天算一天
gyuq,2=工欲善其事，必先利其器
gyuu,2=工欲善其事
gyuv,2=更有甚者
gyuy,2=寡言少语
gyvd,2=膏腴之地
gywv,2=官样文章
gyxj,2=工于心计
gyxk,2=公益性
gyxm,2=高压线
gyxx,2=逛一下
gyys,2=固有一死
gyyy,2=过眼云烟
gyzj,2=赶鸭子上架
gyzl,2=顾影自怜
gzbg,2=工作报告
gzbq,2=裹足不前
gzbw,2=赶早不赶晚
gzdw,2=工作单位
gzgd,2=敢作敢当
gzgj,2=鼓足干劲
gzgu,2=故作高深
gzgw,2=敢作敢为
gzhj,2=工作环境
gzjh,2=工作计划
gzli,2=骨子里
gzlm,2=瓜子脸
gzly,2=狗嘴里吐不出象牙
gznl,2=工作能力
gzrm,2=各族人民
gzry,2=工作人员
gztd,2=工作态度
gztj,2=工作条件
gzty,2=狗嘴吐不出象牙
gzuj,2=工作时间
gzuq,2=鼓足士气
gzvd,2=故作镇定
gzvg,2=工作证
gzvh,2=高增长
gzws,2=公子王孙
gzwv,2=各自为政
gzxx,2=鼓足信心
gzxy,2=工作需要
gzyq,2=鼓足勇气
gzyt,2=顾左右而言他
gzyz,2=光宗耀祖
gzzf,2=工作作风
gzzj,2=工作总结
hakq,2=和蔼可亲
hbbc,2=汉堡包
hbco,2=还不错
hbdb,2=货不对板
hbdc,2=还不到
hbdd,2=黑白颠倒
hbde,2=恨不得
hbdf,2=含苞待放
hbdi,2=悔不当初
hbdj,2=荷包蛋
hbdq,2=恨不得有条地缝钻进去
hbdu,2=话不多说
hbdx,2=祸不单行
hbfa,2=好办法
hbfm,2=黑白分明
hbft,2=魂不附体
hbfx,2=还本付息
hbgr,2=互不干扰
hbgz,2=还不够
hbhc,2=好不好
hbhu,2=会不会是
hbhv,2=会不会
hbhy,2=毫不讳言
hbij,2=画饼充饥
hbju,2=环保局
hbjy,2=毫不介意
hbkk,2=还不快
hbkq,2=很不客气
hbkv,2=毫不夸张
hbld,2=回不来
hblj,2=毫不利己
hbln,2=花不了
hblq,2=黑不溜秋
hblt,2=活蹦乱跳
hblv,2=回报率
hblz,2=胡编乱造
hbng,2=还不能
hbqu,2=回不去
hbqz,2=怀璧其罪
hbru,2=还不如说
hbry,2=好不容易
hbsj,2=货比三家
hbtd,2=话不投机半句多
hbtj,2=话不投机
hbtl,2=化悲痛为力量
hbtm,2=好半天
hbue,2=虎不食儿
hbug,2=河北省
hbui,2=还不是
hbum,2=话不说不明
hbur,2=毫不示弱
hbuu,2=魂不守舍
hbvd,2=还不知道
hbvi,2=还不止
hbvj,2=缓兵之计
hbwj,2=花不完
hbws,2=悍不畏死
hbxg,2=毫不相干
hbxk,2=还不行
hbxq,2=互不相欠
hbxr,2=互不相容
hbxu,2=红白喜事
hbxy,2=虎背熊腰
hbye,2=后半夜
hbyf,2=含苞欲放
hbyy,2=毫不犹豫
hbzl,2=慌不择路
hcbb,2=厚此薄彼
hcby,2=怀才不遇
hcki,2=祸从口出
hclu,2=花丛老手
hctj,2=祸从天降
hcum,2=花草树木
hcur,2=获此殊荣
hdbj,2=荒诞不经
hdbz,2=虎毒不食子
hdcd,2=喝倒彩
hdci,2=好多次
hdda,2=横刀夺爱
hddu,2=黄赌毒
hddz,2=好大的面子
hdfz,2=红得发紫
hdhd,2=很多很多
hdhf,2=好得很
hdhn,2=何德何能
hdhs,2=鹤顶红
hdhu,2=或多或少
hdhx,2=忽大忽小
hdjr,2=黄道吉日
hdld,2=合得来
hdlj,2=皇帝轮流坐，明年到我家
hdlm,2=横刀立马
hdls,2=洪都拉斯
hdlv,2=海底捞针
hdnm,2=好多年
hdnq,2=很多年前
hdqu,2=红灯区
hdux,2=华东师范大学
hdwl,2=画地为牢
hdxb,2=邯郸学步
hdxg,2=好大喜功
hdxh,2=黑灯瞎火
hdxi,2=好东西
hdxy,2=蝴蝶效应
hdzb,2=话到嘴边
hdzw,2=厚德载物
hebb,2=哈尔滨
hebf,2=惠而不费
hebl,2=含而不露
hebq,2=怙恶不悛
hebt,2=和而不同
hebx,2=哈尔滨工业大学
hedd,2=花儿朵朵
hehd,2=皇恩浩荡
hemg,2=荷尔蒙
hewy,2=合二为一
hexj,2=赫尔辛基
hfbj,2=豪放不羁
hfdx,2=哈佛大学
hfhy,2=呼风唤雨
hfjp,2=鹤发鸡皮
hfle,2=恢复了
hfps,2=魂飞魄散
hfqt,2=洪福齐天
hftw,2=魂飞天外
hfty,2=鹤发童颜
hfvr,2=后发制人
hfwz,2=虎父无犬子
hfxq,2=化腐朽为神奇
hfxv,2=后发先至
hfxy,2=和风细雨
hfyh,2=汇丰银行
hfym,2=灰飞烟灭
hfyu,2=环肥燕瘦
hfyv,2=话锋一转
hgds,2=哈根达斯
hgfv,2=回光返照
hggb,2=化干戈为玉帛
hghx,2=回个话
hgjj,2=宏观经济
hgld,2=黑咕隆咚
hgnl,2=灰姑娘
hgql,2=缓过气来
hgqu,2=昏过去
hgtk,2=宏观调控
hgtl,2=回过头来
hgtq,2=回过头去
hgtz,2=回过头
hguj,2=怀古伤今
hgul,2=回过神来
hgus,2=湖光山色
hgvg,2=合格证
hgvy,2=后顾之忧
hgwy,2=好高骛远
hgxi,2=花鼓戏
hgxq,2=很感兴趣
hgxy,2=欢歌笑语
hgym,2=祸国殃民
hgyq,2=缓过一口气
hgyu,2=好钢用在刀刃上
hgzf,2=后果自负
hgzi,2=好果子吃
hgzx,2=悔过自新
hhba,2=惶惶不安
hhbb,2=好话不说二遍
hhbf,2=好坏不分
hhbk,2=好汉不吃眼前亏
hhbq,2=含糊不清
hhbr,2=惶惶不可终日
hhbu,2=还好不是
hhbv,2=呵护备至
hhby,2=好汉不提当年勇
hhcc,2=花花草草
hhcd,2=黄花菜
hhdd,2=浩浩荡荡
hhdu,2=呼呼大睡
hhdx,2=哈哈大笑
hhee,2=浑浑噩噩
hhej,2=哼哈二将
hhfg,2=何海峰
hhgn,2=黄花闺女
hhgz,2=花花公子
hhha,2=哈哈哈
hhhg,2=画虎画皮难画骨
hhhh,2=恍恍惚惚
hhhs,2=好合好散
hhht,2=呼和浩特
hhhu,2=黑乎乎
hhii,2=昏昏沉沉
hhiy,2=行行出状元
hhiz,2=花花肠子
hhjj,2=哼哼叽叽
hhll,2=轰轰烈烈
hhmj,2=后悔莫及
hhqc,2=含糊其辞
hhqy,2=欢呼雀跃
hhry,2=挥汗如雨
hhts,2=花花太岁
hhuj,2=花花世界
hhvg,2=赫赫之功
hhvu,2=悔恨终生
hhvv,2=慌慌张张
hhwc,2=何患无辞
hhwd,2=挥霍无度
hhwq,2=后患无穷
hhxx,2=好好学习
hhyc,2=后悔药
hhym,2=赫赫有名
hhyn,2=祸害遗千年
hhyq,2=后会有期
hhys,2=混合泳
hhyu,2=昏昏欲睡
hhyx,2=挥挥衣袖
hhzi,2=好孩子
hhzx,2=怀恨在心
hibu,2=何尝不是
hicy,2=何出此言
hidq,2=回肠荡气
hids,2=混吃等死
hihh,2=好吃好喝
hiif,2=昏沉沉
hill,2=酣畅淋漓
hilz,2=好吃懒做
himu,2=回春妙手
hiql,2=豁出去了
hiqu,2=豁出去
hirj,2=汗出如浆
hiuj,2=很长时间
hivj,2=火车站
hivv,2=横冲直撞
hiwt,2=很成问题
hiyd,2=还差一点
hiyj,2=很长一段时间
hizx,2=回嗔作喜
hjbf,2=厚积薄发
hjbi,2=好景不长
hjbj,2=好久不见
hjfl,2=后继乏力
hjfr,2=后继乏人
hjgu,2=横加干涉
hjgv,2=活见鬼
hjhj,2=很久很久
hjhq,2=很久很久以前
hjhw,2=狐假虎威
hjid,2=化茧成蝶
hjjy,2=讳疾忌医
hjle,2=好极了
hjlp,2=虎踞龙盘
hjlx,2=花街柳巷
hjmi,2=胡搅蛮缠
hjrt,2=挥金如土
hjtm,2=好几天
hjty,2=海角天涯
hjvn,2=花甲之年
hjvz,2=横加指责
hjwl,2=后继无力
hjwr,2=后继无人
hjyl,2=荒郊野岭
hjyq,2=很久以前
hjyt,2=欢聚一堂
hjyw,2=荒郊野外
hjyy,2=行家一出手，就知有没有
hkba,2=惶恐不安
hkbf,2=户口本
hkbu,2=户口簿
hkby,2=虎口拔牙
hkdi,2=会哭的孩子有奶吃
hkhl,2=花开花落
hkju,2=航空局
hklv,2=花开两朵，各表一枝
hkmj,2=航空母舰
hkng,2=很可能
hknu,2=很可能是
hkpy,2=海阔凭鱼跃
hktk,2=海阔天空
hktu,2=虎口逃生
hkul,2=海枯石烂
hkwn,2=昏聩无能
hkxe,2=黄口小儿
hkyu,2=虎口余生
hlbe,2=呼伦贝尔
hlbj,2=忽略不计
hlbo,2=胡萝卜
hlbq,2=很了不起
hlbu,2=旱涝保收
hlbw,2=何乐不为
hldg,2=红绿灯
hlew,2=何乐而不为
hlgo,2=火龙果
hlgy,2=互利共赢
hlhq,2=换来换去
hlhr,2=忽冷忽热
hlht,2=糊里糊涂
hlhw,2=话里话外
hlit,2=好了疮疤忘了痛
hljk,2=狐狸精
hljl,2=黑龙江
hljq,2=鹤立鸡群
hlju,2=后来居上
hllj,2=获利了结
hllq,2=灰溜溜
hlmg,2=红楼梦
hlmm,2=黄粱美梦
hlpo,2=黄脸婆
hlpq,2=虎落平阳被犬欺
hlpy,2=虎落平阳
hlsu,2=活力四射
hltl,2=后浪推前浪
hltz,2=囫囵吞枣
hlut,2=好了伤疤忘了疼
hluv,2=花露水
hluw,2=寒来暑往
hlvu,2=虎狼之师
hlwh,2=互联网
hlwv,2=化零为整
hlyh,2=话里有话
hlym,2=黄粱一梦
hlyv,2=坏了一锅粥
hlzz,2=回炉再造
hmbc,2=好马不吃回头草
hmce,2=花名册
hmdj,2=黑名单
hmgl,2=汗马功劳
hmgx,2=哈密瓜
hmha,2=忽明忽暗
hmjl,2=荒谬绝伦
hmlv,2=横眉冷对千夫指
hmnm,2=横眉怒目
hmpa,2=好马配好鞍
hmql,2=回马枪
hmru,2=讳莫如深
hmsh,2=侯门似海
hmsu,2=红霉素
hmsv,2=火冒三丈
hmuy,2=横眉竖眼
hmwl,2=横蛮无理
hmxm,2=很明显
hmyj,2=鸿门宴
hmyt,2=黄毛丫头
hmyx,2=回眸一笑
hnbi,2=海纳百川
hncj,2=海内存知己
hndc,2=海南岛
hnfq,2=患难夫妻
hnhy,2=何年何月
hnid,2=汗牛充栋
hnjq,2=患难见真情
hnjx,2=回娘家
hnli,2=很努力
hnlj,2=很难理解
hnln,2=红男绿女
hnmy,2=猴年马月
hntu,2=混凝土
hnug,2=河南省
hnux,2=华南师范大学
hnvj,2=患难之交
hnvy,2=还能这样
hnwd,2=海内外
hnxx,2=很难想象
hnyg,2=患难与共
hnzu,2=哈尼族
hnzy,2=还能怎样
hpge,2=和平鸽
hpgi,2=和平共处
hpgy,2=狐朋狗友
hpgz,2=和平共处五项原则
hphy,2=呼朋唤友
hpjl,2=黄浦江
hpju,2=黄袍加身
hpjv,2=鸿篇巨制
hpjx,2=黄埔军校
hpll,2=很漂亮
hpmm,2=海平面
hppu,2=红扑扑
hpti,2=和盘托出
hpyb,2=呼朋引伴
hpyz,2=好朋友
hqbr,2=寒气逼人
hqdo,2=何其多
hqdy,2=何其毒也
hqgk,2=很奇怪
hqgq,2=皇亲国戚
hqhc,2=何去何从
hqhl,2=合情合理
hqhm,2=好奇害死猫
hqic,2=浩气长存
hqiu,2=很清楚
hqjx,2=划清界限
hqle,2=回去了
hqlw,2=红墙绿瓦
hqmm,2=含情脉脉
hqmr,2=魂牵梦绕
hqmu,2=花钱买罪受
hqmy,2=魂牵梦萦
hqqi,2=黑漆漆
hqqu,2=黑黢黢
hqub,2=横七竖八
hqud,2=荷枪实弹
hqvm,2=害群之马
hqvv,2=豪情壮志
hqvx,2=后起之秀
hqwv,2=豪情万丈
hqxb,2=好奇心
hqxq,2=祸起萧墙
hqxr,2=寒气袭人
hqxt,2=花拳绣腿
hqyh,2=花旗银行
hqyv,2=虎躯一震
hqyx,2=花前月下
hqzh,2=黄雀在后
hrbj,2=诲人不倦
hrbm,2=好人不长命
hrbq,2=害人不浅
hrbs,2=活人不能让尿憋死
hrbv,2=浑然不知
hrdw,2=恍然大悟
hrgs,2=恨入骨髓
hrgt,2=豁然贯通
hrhj,2=害人害己
hrkl,2=豁然开朗
hrru,2=恍然若失
hrti,2=浑然天成
hrtw,2=骇人听闻
hrvq,2=浩然之气
hrvw,2=害人之心不可有，防人之心不可无
hrvy,2=害人之心不可有
hrwv,2=浑然无知
hrym,2=花容月貌
hryq,2=虎入羊群
hryt,2=浑然一体
hryx,2=焕然一新
hsbh,2=好死不如赖活
hsgn,2=黑塞哥维那
hske,2=哈萨克
hskt,2=哈萨克斯坦
hslx,2=胡思乱想
hsnd,2=晦涩难懂
hsqj,2=横扫千军
hsux,2=活色生香
hsvt,2=好色之徒
hszr,2=挥洒自如
htbg,2=恨铁不成钢
htby,2=横挑鼻子竖挑眼
htcc,2=回头草
htdk,2=嚎啕大哭
htdv,2=宏图大志
htdx,2=哄堂大笑
htfu,2=回天乏术
htgy,2=黄土高原
hthd,2=昏天黑地
hthn,2=虎头虎脑
htht,2=皇天后土
hthz,2=皇太后
htih,2=火腿肠
htjc,2=花团锦簇
htjd,2=花天酒地
htjm,2=回头见
htjx,2=回趟家
htke,2=回头客
htkj,2=憨态可掬
htlu,2=滑铁卢
htlv,2=回头率
htqd,2=呼天抢地
httl,2=灰头土脸
htts,2=红彤彤
htua,2=回头是岸
htuh,2=火头上
htuw,2=虎头蛇尾
htvl,2=回天之力
htwj,2=红头文件
htxd,2=欢天喜地
htxj,2=滑天下之大稽
htyu,2=糊涂一时
htyw,2=互通有无
htzi,2=皇太子
htzu,2=回头再说
hubc,2=还是不错
hubd,2=胡说八道
hubl,2=海水不可斗量
hudd,2=虎视眈眈
hudy,2=华盛顿
huhd,2=何时何地
huhl,2=火烧火燎
huhq,2=好声好气
huhs,2=绘声绘色
huhy,2=绘声绘影
huiu,2=好事成双
hujy,2=火上浇油
hulc,2=和事佬
hulv,2=换手率
humj,2=毁尸灭迹
humm,2=火烧眉毛
humy,2=混水摸鱼
hupv,2=横竖撇点折
huqi,2=回收期
huqj,2=皓首穷经
hurl,2=鼾声如雷
hutz,2=画蛇添足
huud,2=浑身是胆
huul,2=海市蜃楼
huum,2=海誓山盟
huux,2=浑身上下
huvj,2=横生枝节
huvl,2=还手之力
huvt,2=好事之徒
huvu,2=后事之师
huwu,2=回首往事
huxy,2=欢声笑语
huyl,2=荒山野岭
huyr,2=很少有人
huzv,2=活受罪
hvbj,2=悔之不及
hvbl,2=横征暴敛
hvbq,2=挥之不去
hvgj,2=和衷共济
hvhj,2=后知后觉
hvjl,2=呼之即来
hvjq,2=挥之即去
hvli,2=花枝乱颤
hvpb,2=化妆品
hvql,2=火中取栗
hvrg,2=恨之入骨
hvvv,2=花枝招展
hvvx,2=会展中心
hvwl,2=化整为零
hvyx,2=好整以暇
hvzi,2=汗珠子
hwbl,2=毫无保留
hwev,2=毫无二致
hwgj,2=毫无顾忌
hwgx,2=毫无关系
hwjn,2=好望角
hwln,2=好无聊
hwlv,2=后无来者
hwly,2=毫无理由
hwna,2=哈瓦那
hwru,2=好为人师
hwry,2=荒无人烟
hwsk,2=换位思考
hwvm,2=化外之民
hwwq,2=回味无穷
hwwy,2=化为乌有
hwyb,2=画外音
hwyg,2=互为因果
hwyi,2=毫无用处
hwyt,2=混为一谈
hwyw,2=毫无疑问
hwyy,2=毫无意义
hxba,2=还行吧
hxbf,2=喝西北风
hxdb,2=韩信点兵
hxdf,2=好心当成驴肝肺
hxel,2=呼啸而来
hxfy,2=化学反应
hxgw,2=欢欣鼓舞
hxhb,2=混淆黑白
hxhy,2=活血化瘀
hxil,2=候选窗
hxiq,2=红杏出墙
hxjq,2=含笑九泉
hxlb,2=花心萝卜
hxlt,2=虎穴龙潭
hxmb,2=好心没好报
hxny,2=花香鸟语
hxpr,2=含血喷人
hxql,2=回想起来
hxrk,2=含辛茹苦
hxsq,2=灰心丧气
hxtw,2=互相推诿
hxtx,2=横行天下
hxut,2=混淆视听
hxvf,2=回形针
hxvy,2=回心转意
hxwy,2=化险为夷
hxxh,2=好行小惠
hxyc,2=互相依存
hxyq,2=沆瀣一气
hxyx,2=会心一笑
hxzi,2=黑匣子
hxzl,2=河西走廊
hxzt,2=好戏在后头
hybj,2=很一般
hybm,2=红颜薄命
hybq,2=怀冤抱屈
hybu,2=还有不少
hybv,2=很有帮助
hyby,2=很有必要
hycb,2=毁誉参半
hyde,2=好样的
hydh,2=好勇斗狠
hydl,2=很有道理
hyew,2=和衣而卧
hyfq,2=获益匪浅
hyfw,2=会议费
hyfx,2=花样翻新
hyhj,2=忽远忽近
hyhu,2=红颜祸水
hyjd,2=何以见得
hyjh,2=含英咀华
hyjj,2=火眼金睛
hyjq,2=喊冤叫屈
hykn,2=很有可能
hylu,2=回忆录
hyly,2=胡言乱语
hynh,2=花样年华
hyns,2=含饴弄孙
hypy,2=汉语拼音
hyqh,2=后院起火
hyqr,2=黑眼圈
hyqy,2=花言巧语
hyvg,2=后遗症
hyvy,2=豪言壮语
hywi,2=厚颜无耻
hywl,2=话音未落
hywq,2=花冤枉钱
hyxq,2=好言相劝
hyyd,2=毁于一旦
hyyy,2=很有意义
hyzi,2=旱鸭子
hzdz,2=何足道哉
hzey,2=涸泽而渔
hzfw,2=胡作非为
hzgi,2=何足挂齿
hzhb,2=合作伙伴
hzhu,2=洪泽湖
hziw,2=猴子称大王
hzlh,2=合纵连横
hzqy,2=合资企业
hzvy,2=何罪之有
hzwq,2=何足为奇
hzwv,2=好自为之
hzyu,2=活字印刷
iald,2=尘埃落定
ibal,2=除暴安良
ibbn,2=吃不饱穿不暖
ibdl,2=差不多了
ibdo,2=差不多
ibds,2=吃不到葡萄说葡萄酸
ibdu,2=成败得失
ibgk,2=丑八怪
ibgq,2=喘不过气
ibgr,2=吃不惯
ibhz,2=吃饱喝足
ibii,2=吃不吃
ibkd,2=吃不开
ibkw,2=臭不可闻
ibld,2=吃饱了撑的
ible,2=吃饱了
iblh,2=成不了气候
ibll,2=储备粮
iblt,2=秤不离砣
iblv,2=吃饱了撑着
iblz,2=吃不了兜着走
ibmg,2=吃闭门羹
ibtd,2=差不太多
ibue,2=出版社
ibuj,2=长白山
ibuq,2=成百上千
ibuv,2=赤膊上阵
ibxn,2=吃不消
ibxq,2=吃不下去
ibxx,2=吃不下
ibzj,2=成败在此一举
icjh,2=趁此机会
icjy,2=重操旧业
icld,2=陈词滥调
icvw,2=除此之外
icxc,2=出此下策
icyc,2=吃错药
icyl,2=吃错药了
icyw,2=长此以往
idbx,2=拆东补西
idci,2=尺短寸长
iddm,2=沉甸甸
iddu,2=抽刀断水
idfv,2=重蹈覆辙
idji,2=船到江心补漏迟
idjx,2=唱独角戏
idjy,2=赤道几内亚
idqi,2=充电器
idqq,2=拆东墙，补西墙
idqv,2=船到桥头自然直
idqy,2=超短裙
idtv,2=吹得天花乱坠
idtx,2=唱对台戏
idul,2=车到山前必有路
iduy,2=传道授业
idvq,2=沉得住气
idvx,2=赤胆忠心
idzt,2=迟到早退
iebw,2=充耳不闻
iefe,2=出尔反尔
iewj,2=除恶务尽
ieyu,2=惩恶扬善
ifdn,2=唱反调
ifdy,2=春风得意
ifhe,2=超负荷
ifiu,2=春风吹又生
ifjw,2=除非己莫为
iflb,2=车匪路霸
ifle,2=吃饭了
ifny,2=嘲风弄月
ifpl,2=乘风破浪
ifpu,2=长风破浪会有时
ifql,2=吃饭去了
iftz,2=出风头
ifum,2=充分说明
ifxk,2=长方形
ifyd,2=春风一度
igdg,2=称孤道寡
igdk,2=长歌当哭
iglv,2=成功率
iglx,2=陈规陋习
igmj,2=吃干抹净
igmm,2=春光明媚
igvv,2=常规战争
igyh,2=重归于好
igzm,2=陈谷子烂芝麻
ihdj,2=趁火打劫
ihhj,2=楚河汉界
ihib,2=唇红齿白
ihik,2=诚惶诚恐
ihlm,2=春花烂漫
ihlp,2=蠢话连篇
ihlq,2=春寒料峭
ihls,2=吃喝拉撒
ihpd,2=吃喝嫖赌
ihrw,2=车毁人亡
ihtn,2=冲昏头脑
ihtt,2=成何体统
ihut,2=丑话说在前头
ihvl,2=吹灰之力
ihvp,2=窗户纸一点就破
ihwl,2=吃喝玩乐
ihxx,2=超乎想象
ihyl,2=出乎意料
ihzy,2=吹胡子瞪眼
iibj,2=愁肠百结
iibq,2=踌躇不前
iidr,2=楚楚动人
iihh,2=吃吃喝喝
iihz,2=赤橙黄绿青蓝紫
iijh,2=重出江湖
iiji,2=驰骋疆场
iijj,2=长长久久
iikl,2=楚楚可怜
iiml,2=初出茅庐
iimm,2=缠缠绵绵
iimv,2=踌躇满志
iinf,2=插翅难飞
iing,2=称臣纳贡
iinn,2=吵吵闹闹
iint,2=插翅难逃
iipb,2=处处碰壁
iirr,2=吵吵嚷嚷
iivb,2=唇齿之邦
iivx,2=吃穿住行
iiww,2=颤颤巍巍
iixm,2=尝尝鲜
iixy,2=唇齿相依
iiyd,2=蠢蠢欲动
iiyy,2=绰绰有余
ijbc,2=传家宝
ijbq,2=出简不出全
ijdg,2=超级大国
ijdy,2=穿金戴银
ijgj,2=成就感
ijgm,2=初具规模
ijhh,2=楚界汉河
ijhl,2=长江后浪推前浪
ijix,2=初见成效
ijkl,2=春节快乐
ijkt,2=吃尽苦头
ijlu,2=长颈鹿
ijlv,2=掣襟露肘
ijly,2=成家立业
ijpl,2=船坚炮利
ijrx,2=出将入相
ijsh,2=成吉思汗
ijtr,2=重见天日
ijtu,2=创巨痛深
ijtz,2=长镜头
ijuq,2=触景生情
ijvj,2=长久之计
ijyx,2=除旧迎新
ikbj,2=触控板
ikdh,2=插科打诨
ikei,2=冲口而出
ikiv,2=出口成章
ikjm,2=吹糠见米
iknl,2=吃苦耐劳
ikqi,2=喘口气
iktp,2=创可贴
ikur,2=出口伤人
ikxf,2=敞开心扉
ikzq,2=吃亏在眼前
ilbc,2=出类拔萃
ilbd,2=吃了豹子胆
ilbh,2=吃力不讨好
ilbu,2=吃粮不管事
ilbx,2=川流不息
ildd,2=豺狼当道
ildk,2=吃了大亏
ildv,2=重峦叠嶂
ilfm,2=初露锋芒
ilfn,2=出离愤怒
ilfw,2=差旅费
ilhb,2=豺狼虎豹
ilia,2=查了查
ilih,2=尝了尝
ilkx,2=乘龙快婿
illo,2=赤裸裸
ilmd,2=出了名的
ilpb,2=处理品
ilpt,2=触类旁通
ilpw,2=吃里扒外
ilqi,2=处理器
ilqj,2=春兰秋菊
ilqz,2=吃了枪子
ilti,2=吹拉弹唱
iltv,2=垂帘听政
ilvd,2=初来乍到
ilvj,2=车轮战
ilyj,2=吵了一架
imbs,2=长命百岁
imbv,2=愁眉不展
imby,2=沉默不语
imfc,2=缠绵悱恻
imgy,2=沉默寡言
imhc,2=出谋划策
imjj,2=窗明几净
imjs,2=沉湎酒色
imju,2=瞠目结舌
imjx,2=触目惊心
imkl,2=愁眉苦脸
imld,2=车马劳顿
immk,2=重命名
impk,2=触摸屏
imqc,2=吹毛求疵
imuh,2=城门失火
imui,2=触摸式
imuj,2=沉默是金
imve,2=充满着
imvn,2=迟暮之年
imvv,2=臭名昭著
imvw,2=驰名中外
imwh,2=春梦无痕
imwi,2=出没无常
imwl,2=魑魅魍魉
imyi,2=柴米油盐酱醋茶
imyu,2=沉迷于
imyy,2=柴米油盐
imzw,2=出门在外
indj,2=吃奶的劲
inhk,2=春暖花开
inju,2=陈年旧事
injv,2=陈年旧账
inle,2=吃腻了
inli,2=超能力
inlj,2=陈年老酒
inly,2=长年累月
inpi,2=吹牛皮
inrf,2=成年人
invj,2=刹那之间
inyn,2=痴男怨女
inzo,2=处女座
ipdl,2=长篇大论
ipdv,2=IP地址
ipld,2=长篇累牍
ipxu,2=长篇小说
iqbb,2=乘其不备
iqbf,2=春秋笔法
iqbh,2=惩前毖后
iqby,2=出其不意
iqdn,2=重启电脑
iqfr,2=锄强扶弱
iqil,2=潮起潮落
iqit,2=臭气冲天
iqjd,2=成群结队
iqld,2=陈腔滥调
iqle,2=出去了
iqll,2=充其量
iqlz,2=重起炉灶
iqqh,2=承前启后
iqql,2=春去秋来
iqry,2=差强人意
iqts,2=出气筒
iqui,2=重庆市
iquj,2=唇枪舌剑
iquw,2=成千上万
iqvg,2=春秋战国
iqvr,2=长驱直入
iqvu,2=出奇制胜
iqwy,2=除却巫山不是云
iqyl,2=长期以来
irbj,2=宠辱不惊
irbk,2=传染病
irbt,2=吃人不吐骨头
irby,2=吃软不吃硬
irbz,2=成人不自在
irdt,2=趁热打铁
irjd,2=吃人家的嘴短
irjg,2=吃人家饭，受人家管
irlg,2=常任理事国
irtd,2=出人头地
irum,2=痴人说梦
irvm,2=成人之美
irvw,2=乘人之危
irww,2=超然物外
irxh,2=仇人相见，分外眼红
iryl,2=出人意料
isbj,2=抽丝剥茧
iscs,2=差三错四
isdd,2=撑死胆大的
islj,2=沉思良久
issi,2=楚虽三户，亡秦必楚
isvv,2=垂死挣扎
isyy,2=畅所欲言
itbi,2=丑态百出
itbl,2=丑态毕露
itbt,2=长痛不如短痛
itbu,2=长途跋涉
itdp,2=吹弹得破
itfy,2=尘土飞扬
itgn,2=传统观念
itgv,2=床头柜
itiw,2=彻头彻尾
itkp,2=吹弹可破
itmd,2=传统美德
itnn,2=出头鸟
itsq,2=垂头丧气
ittg,2=赤条条来去无牵挂
ittn,2=赤条条
ituh,2=传统社会
itvg,2=呈堂证供
itvr,2=出头之日
itwh,2=传统文化
itwz,2=畅通无阻
ityl,2=差太远了
ityq,2=串通一气
ityr,2=差太远
ityu,2=长叹一声
iubf,2=出手不凡
iubl,2=长生不老
iuby,2=成事不足，败事有余
iubz,2=成事不足
iudx,2=城市大学
iufr,2=出水芙蓉
iuhx,2=初始化
iujj,2=常胜将军
iujl,2=崇山峻岭
iukj,2=触手可及
iukk,2=诚实可靠
iukq,2=赤手空拳
iult,2=赤身裸体
iuml,2=车水马龙
iund,2=初生牛犊
iunh,2=初生牛犊不怕虎
iuqx,2=承上启下
iurd,2=出双入对
iurh,2=出神入化
iurs,2=出生入死
iuux,2=诚实守信
iuxv,2=春生夏长
iuzt,2=成事在天
ivbi,2=成正比
ivdj,2=沉重代价
ivfy,2=叱咤风云
ivhl,2=差之毫厘
ivja,2=长治久安
ivjt,2=唱主角
ivmg,2=晨钟暮鼓
ivmz,2=陈芝麻烂谷子
ivnd,2=纯真年代
ivnf,2=吃斋念佛
ivqg,2=重整旗鼓
ivqr,2=传之其人
ivtr,2=处之泰然
ivvw,2=池中之物
ivwh,2=成者王侯
ivwk,2=成者王侯败者寇
ivwl,2=吃着碗里，望着锅里
