aaba,1=阿爸
hrix,1=患
hrji,1=还击
hrjk,1=环境
hrjp,1=环节
hrjt,1=幻觉
hrju,1=欢聚
hrjx,1=还价
hrjy,1=锾
hrkd,1=唤
hrkk,1=欢快
hrkl,1=豁然开朗
hrkr,1=还款
hrky,1=圜
hrkz,1=还口
hrld,1=换来
hrle,1=欢乐
hrli,1=还礼
hrlq,1=环流
hrlu,1=环路
hrmj,1=缓慢
hrmp,1=幻灭
hrnj,1=患难
hrny,1=嬛
hroy,1=㬊
hrqf,1=獾
hrqi,1=唤起
hrqk,1=欢庆
hrqm,1=还钱
hrqq,1=环球
hrqu,1=换取
hrrc,1=环绕
hrrf,1=换人
hrrj,1=焕然
hrru,1=恍然若失
hrse,1=𬘫
hrsj,1=涣散
hrsn,1=鹮
hrsr,1=换算
hrss,1=欢送
hrsu,1=还俗
hrsy,1=缳
hrtg,1=欢腾
hrti,1=浑然天成
hrtk,1=幻听
hrtn,1=欢跳
hrtw,1=骇人听闻
hruh,1=换上
hrui,1=环视
hruj,1=环山
hruu,1=幻术
hruz,1=还手
hrvd,1=还债
hrve,1=患者
hrvh,1=还账
hrvl,1=环状
hrvq,1=浩然之气
hrvw,1=害人之心不可有，防人之心不可无
hrvy,1=害人之心不可有
hrwb,1=环
hrwq,1=𤩽
hrwv,1=浑然无知
hrww,1=换位
hrxb,1=欢心
hrxi,1=欢喜
hrxk,1=唤醒
hrxl,1=幻想
hrxm,1=环线
hrxn,1=欢笑
hrxs,1=浣熊
hrxt,1=换血
hrxx,1=换下
hrya,1=换牙
hrye,1=换页
hryh,1=豢养
hryj,1=欢颜
hryk,1=欢迎
hrym,1=花容月貌
hryq,1=虎入羊群
hryr,1=还原
hryt,1=浑然一体
hryu,1=欢愉
hryv,1=幻
hryx,1=焕然一新
hryz,1=患有
hrzb,1=还
hrzk,1=逭
hrzv,1=还嘴
hsbb,1=谼
hsbc,1=红包
hsbh,1=好死不如赖活
hsbi,1=红笔
hsbj,1=红斑
hsbk,1=訇
hsbm,1=红遍
hsbs,1=宏
hsbw,1=烘焙
hscb,1=薨
hscg,1=荭
hsda,1=宏大
hsdb,1=洪
hsdg,1=红灯
hsdi,1=红底
hsdj,1=红蛋
hsdn,1=鸿
hsds,1=轰动
hsdz,1=红豆
hsff,1=红粉
hsfg,1=洪峰
hsfu,1=洪福
hsgj,1=烘干
hsgl,1=红光
hsgn,1=黑塞哥维那
hsgr,1=宏观
hsgs,1=弘
hsgz,1=鸿沟
hshb,1=烘
hshl,1=洪荒
hsho,1=红火
hshs,1=红红
hshu,1=洪湖
hshx,1=红花
hsia,1=红茶
hsif,1=红尘
hsig,1=虹
hsir,1=哄传
hsiy,1=轰
hsjb,1=𫟹
hsjq,1=红酒
hsjs,1=𬭎
hsjy,1=红军
hskb,1=哄
hskc,1=烘烤
hske,1=哈萨克
hskn,1=吽
hskt,1=哈萨克斯坦
hskz,1=虹口
hslc,1=洪涝
hsle,1=红了
hsli,1=红利
hsll,1=洪亮
hslm,1=红脸
hslq,1=洪流
hsls,1=轰隆
hslx,1=胡思乱想
hsly,1=宏论
hsmc,1=鸿毛
hsmk,1=轰鸣
hsms,1=闳
hsmu,1=红木
hsmw,1=红梅
hsnd,1=晦涩难懂
hsnl,1=红娘
hspd,1=红牌
hspj,1=红盘
hspm,1=哄骗
hsqi,1=红旗
hsqj,1=横扫千军
hsql,1=哄抢
hsrf,1=红人
hsri,1=红日
hsrj,1=轰然
hsru,1=鸿儒
hsry,1=红润
hsse,1=红色
hssg,1=红
hsss,1=纮
hstc,1=红桃
hstd,1=哄抬
hsth,1=红糖
hsto,1=烘托
hstu,1=红土
hsub,1=硔
hsuc,1=红烧
hsuf,1=红参
hsuu,1=红薯
hsuv,1=洪水
hsux,1=活色生香
hsva,1=轰炸
hsvl,1=红妆
hsvs,1=红肿
hsvt,1=好色之徒
hsvu,1=红烛
hsvz,1=红轴
hswd,1=红外
hswg,1=玒
hsww,1=宏伟
hsxb,1=红心
hsxk,1=红杏
hsxm,1=红线
hsxn,1=哄笑
hsxq,1=红袖
hsxt,1=红学
hsxx,1=红霞
hsye,1=红叶
hsyg,1=讧
hsyh,1=弘扬
hsyi,1=红衣
hsyj,1=红颜
hsyy,1=鸿运
hszc,1=红枣
hszd,1=洪灾
hszi,1=红字
hszr,1=挥洒自如
htbg,1=恨铁不成钢
htby,1=横挑鼻子竖挑眼
htcc,1=回头草
htdk,1=嚎啕大哭
htdv,1=宏图大志
htdx,1=哄堂大笑
htfu,1=回天乏术
htgy,1=黄土高原
hthd,1=昏天黑地
hthn,1=虎头虎脑
htht,1=皇天后土
hthz,1=皇太后
htih,1=火腿肠
htjc,1=花团锦簇
htjd,1=花天酒地
htjm,1=回头见
htjx,1=回趟家
htke,1=回头客
htkj,1=憨态可掬
htlu,1=滑铁卢
htlv,1=回头率
htqd,1=呼天抢地
httl,1=灰头土脸
htts,1=红彤彤
htua,1=回头是岸
htuh,1=火头上
htuw,1=虎头蛇尾
htvl,1=回天之力
htwj,1=红头文件
htxd,1=欢天喜地
htxj,1=滑天下之大稽
htyu,1=糊涂一时
htyw,1=互通有无
htzi,1=皇太子
htzu,1=回头再说
huaa,1=互
huai,1=互爱
huay,1=鳠
hubc,1=还是不错
hubd,1=胡说八道
hubl,1=海水不可斗量
hubm,1=湖边
hubo,1=互搏
hubu,1=互补
hubw,1=湖北
huco,1=葫
hudd,1=虎视眈眈
hudg,1=瓠
hudh,1=滹
hudj,1=虎胆
hudm,1=护垫
hudo,1=湖
hudp,1=蝴蝶
hudr,1=护短
huds,1=互动
hudu,1=弧度
hudw,1=浒
hudx,1=淴
hudy,1=华盛顿
huek,1=岵
huer,1=忽而
hufa,1=护法
hufh,1=互访
hufu,1=护肤
hugc,1=胡搞
hugd,1=壶盖
hugg,1=弧
hugn,1=鹘
huhb,1=扈
huhd,1=何时何地
huhh,1=护航
huhj,1=呼喊
huhk,1=和
huhl,1=火烧火燎
huho,1=煳
huhq,1=好声好气
huhr,1=呼唤
huhs,1=绘声绘色
huhu,1=戽
huhv,1=互惠
huhx,1=胡话
huhy,1=绘声绘影
huie,1=胡扯
huih,1=轷
huii,1=互斥
huio,1=蝴
huiu,1=好事成双
huiv,1=胡吹
huiz,1=狐臭
huji,1=户籍
hujk,1=湖景
hujn,1=呼叫
hujq,1=呼救
hujx,1=护驾
hujy,1=火上浇油
hukh,1=呼
hukj,1=唬
hukw,1=囫
hukx,1=唿
hukz,1=户口
hula,1=呼啦
hulc,1=和事佬
huld,1=胡来
hulh,1=虎狼
huli,1=狐狸
hulj,1=护栏
hulm,1=互联
hulr,1=胡乱
hult,1=忽略
hulu,1=葫芦
hulv,1=换手率
huly,1=囫囵
humf,1=虎门
humj,1=毁尸灭迹
humm,1=火烧眉毛
humo,1=糊
humr,1=核
humu,1=槲
humw,1=狐媚
humy,1=混水摸鱼
hunc,1=胡闹
hunh,1=嫭
hunj,1=湖南
hunn,1=鹄
huns,1=糊弄
huny,1=鹱
huoh,1=昈
huow,1=昒
hupd,1=互派
hupj,1=湖畔
hupk,1=祜
hupl,1=乎
hupo,1=湖泊
hupv,1=横竖撇点折
huqg,1=狐
huqi,1=回收期
huqj,1=皓首穷经
huqo,1=猢
hurf,1=唬人
hurh,1=互让
hurj,1=忽然
hurl,1=鼾声如雷
huss,1=护送
husy,1=猢狲
hutc,1=胡桃
huts,1=互通
hutu,1=糊涂
hutz,1=画蛇添足
huuc,1=呼哨
huud,1=浑身是胆
huuf,1=护身
huug,1=呼声
huui,1=忽视
huuj,1=忽闪
huul,1=海市蜃楼
huum,1=海誓山盟
huun,1=鹕
huuo,1=胡说
huuu,1=户数
huuv,1=湖水
huux,1=浑身上下
huuy,1=壶
huvc,1=护照
huve,1=护着
huvj,1=横生枝节
huvl,1=还手之力
huvs,1=湖中
huvt,1=好事之徒
huvu,1=后事之师
huvw,1=笏
huvz,1=胡诌
huwd,1=户外
huwf,1=忽闻
huwj,1=琥
huwo,1=瑚
huwu,1=回首往事
huww,1=护卫
huwx,1=忽
huxb,1=互信
huxi,1=呼吸
huxk,1=户型
huxl,1=互相
huxm,1=弧线
huxn,1=呼啸
huxt,1=虎穴
huxu,1=胡须
huxx,1=惚
huxy,1=欢声笑语
huya,1=虎牙
huye,1=鄠
huyh,1=护养
huyi,1=狐疑
huyj,1=护眼
huyk,1=呼应
huyl,1=荒山野岭
huyo,1=醐
huyr,1=很少有人
huyu,1=呼吁
huyz,1=忽悠
huzi,1=胡子
huzv,1=活受罪
hvan,1=灰暗
hvax,1=惠
hvbc,1=汇报
hvbd,1=灰白
hvbh,1=毁谤
hvbi,1=回避
hvbj,1=悔之不及
hvbk,1=回禀
hvbl,1=横征暴敛
hvbm,1=汇编
hvbn,1=徽标
hvbo,1=回拨
hvbq,1=挥之不去
hvcj,1=会餐
hvck,1=茴
hvcs,1=荟
hvcv,1=荟萃
hvcx,1=蕙
hvda,1=回答
hvdc,1=回到
hvdh,1=回荡
hvdj,1=回单
hvdk,1=洄
hvdm,1=回电
hvdn,1=毁掉
hvds,1=挥动
hvdu,1=灰度
hvdv,1=汇兑
hvet,1=堕
hvex,1=隳
hvfa,1=挥发
hvfe,1=彗
hvfg,1=汇丰
hvfh,1=回访
hvfi,1=挥
hvfj,1=回返
hvfu,1=恢复
hvfw,1=会费
hvfx,1=慧
hvgd,1=悔改
hvgj,1=和衷共济
hvgm,1=麾
hvgo,1=回国
hvgr,1=会馆
hvgu,1=回顾
hvgv,1=回归
hvgy,1=回滚
hvgz,1=回购
hvhc,1=挥毫
hvhe,1=回合
hvhf,1=悔恨
hvhh,1=回航
hvhj,1=后知后觉
hvhk,1=毁坏
hvhl,1=辉煌
hvho,1=挥霍
hvhs,1=恢弘
hvhv,1=会徽
hvhx,1=回话
hvhy,1=悔婚
hvhz,1=会后
hvic,1=回潮
hvie,1=回车
hvif,1=灰尘
hvig,1=回程
hvih,1=会场
hvii,1=挥斥
hvik,1=蛔
hvis,1=蛔虫
hviw,1=徽
hvix,1=蟪
hviy,1=回春
hviz,1=回抽
hvjb,1=灰烬
hvji,1=汇集
hvjk,1=回敬
hvjl,1=呼之即来
hvjm,1=会见
hvjn,1=汇缴
hvjq,1=挥之即去
hvjt,1=回绝
hvju,1=汇聚
hvjx,1=回家
hvjy,1=毁
hvkc,1=会考
hvke,1=会客
hvkh,1=咴
hvkk,1=回
hvko,1=贿
hvkr,1=汇款
hvku,1=喙
hvkv,1=回馈
hvkx,1=哕
hvkz,1=回扣
hvld,1=回来
hvle,1=毁了
hvlh,1=回廊
hvli,1=花枝乱颤
hvlo,1=回落
hvlq,1=回流
hvls,1=回笼
hvlu,1=贿赂
hvlv,1=汇率
hvlw,1=挥泪
hvmb,1=回民
hvmm,1=会面
hvmp,1=毁灭
hvms,1=桧
hvmx,1=橞
hvmz,1=回眸
hvnr,1=回暖
hvoi,1=晖
hvom,1=晦
hvpb,1=化妆品
hvpn,1=汇票
hvpu,1=惠普
hvpw,1=袆
hvqi,1=晦气
hvql,1=火中取栗
hvqm,1=会签
hvqr,1=挥拳
hvqu,1=回去
hvrc,1=回绕
hvrg,1=恨之入骨
hvrs,1=毁容
hvru,1=汇入
hvsa,1=挥洒
hvse,1=灰色
hvso,1=会所
hvsr,1=汇算
hvss,1=绘
hvsu,1=回溯
hvsy,1=毁损
hvth,1=会堂
hvtj,1=会谈
hvtm,1=回天
hvtn,1=回调
hvtp,1=回帖
hvts,1=会同
hvtu,1=绘图
hvtx,1=恚
hvtz,1=回头
hvuc,1=卉
hvug,1=回升
hvuh,1=会商
hvui,1=回事
hvuj,1=回删
hvuo,1=会说
hvuz,1=回收
hvvf,1=会诊
hvvh,1=会长
hvvi,1=回执
hvvj,1=会展
hvvr,1=回转
hvvv,1=花枝招展
hvvx,1=会展中心
hvvz,1=惠州
hvwf,1=回稳
hvwh,1=回望
hvwi,1=虺
hvwj,1=会玩
hvwl,1=化整为零
hvwu,1=挥舞
hvww,1=回味
hvxb,1=灰心
hvxh,1=恢
hvxi,1=辉
hvxk,1=彗星
hvxl,1=回想
hvxm,1=灰线
hvxp,1=诙谐
hvxr,1=回旋
hvxs,1=灰熊
hvxx,1=麾下
hvyb,1=回音
hvyh,1=诙
hvyi,1=会议
hvyj,1=汇演
hvyk,1=回应
hvym,1=诲
hvyr,1=会员
hvys,1=会用
hvyt,1=毁约
hvyw,1=讳
hvyx,1=好整以暇
hvyz,1=会有
hvzg,1=回赠
hvzi,1=汗珠子
hvzs,1=汇总
hvzu,1=回族
hvzv,1=回嘴
hwan,1=黑暗
hwbd,1=黑白
hwbh,1=黑帮
hwbj,1=黑板
hwbl,1=毫无保留
hwdc,1=黑道
hwdi,1=黑底
hwds,1=黑洞
hwev,1=毫无二致
hwfa,1=黑发
hwgj,1=毫无顾忌
hwgo,1=黑锅
hwgv,1=黑鬼
hwgx,1=毫无关系
hwhu,1=黑户
hwhw,1=嘿嘿
hwhx,1=黑话
hwie,1=黑车
hwjh,1=𬭶
hwjn,1=好望角
hwke,1=黑客
hwkh,1=嘿
hwle,1=黑了
hwlh,1=黑
hwll,1=黑亮
hwlm,1=黑脸
hwln,1=好无聊
hwlv,1=后无来者
hwly,1=毫无理由
hwma,1=黑马
hwmc,1=黑猫
hwmu,1=黑幕
hwmw,1=黑莓
hwna,1=哈瓦那
hwnu,1=黑奴
hwpk,1=黑屏
hwqi,1=黑气
hwql,1=黑枪
hwqm,1=黑钱
hwrf,1=黑人
hwru,1=好为人师
hwry,1=荒无人烟
hwse,1=黑色
hwsk,1=换位思考
hwtc,1=黑桃
hwti,1=黑体
hwtj,1=黑炭
hwtu,1=黑土
hwtz,1=黑头
hwua,1=黑纱
hwuc,1=黑哨
hwui,1=黑市
hwuj,1=黑山
hwuz,1=黑手
hwve,1=黑着
hwvi,1=黑痣
hwvm,1=化外之民
hwvz,1=黑轴
hwwo,1=黑窝
hwwq,1=回味无穷
hwwy,1=化为乌有
hwxb,1=黑心
hwxm,1=黑线
hwxq,1=嘿咻
hwxs,1=黑熊
hwyb,1=画外音
hwye,1=黑夜
hwyg,1=互为因果
hwyi,1=毫无用处
hwyj,1=黑烟
hwyk,1=黑影
hwyt,1=混为一谈
hwyw,1=毫无疑问
hwyy,1=毫无意义
hwzi,1=黑字
hxak,1=画
hxba,1=还行吧
hxbc,1=画报
hxbd,1=花白
hxbf,1=喝西北风
hxbi,1=画笔
hxbj,1=花瓣
hxbk,1=滑冰
hxbm,1=花边
hxbn,1=华表
hxbo,1=划拨
hxbp,1=话别
hxbu,1=画布
hxbw,1=华北
hxcb,1=花
hxcc,1=花草
hxce,1=画册
hxcs,1=花丛
hxdb,1=韩信点兵
hxdf,1=好心当成驴肝肺
hxdg,1=花灯
hxdj,1=华诞
hxdk,1=划定
hxdm,1=花店
hxdn,1=花掉
hxdo,1=花朵
hxdp,1=化蝶
hxds,1=华东
hxdt,1=觟
hxee,1=花萼
hxel,1=呼啸而来
hxer,1=花儿
hxff,1=划分
hxfg,1=画风
hxfh,1=花房
hxfu,1=砉
hxfw,1=花费
hxfy,1=化学反应
hxgc,1=画稿
hxgd,1=滑盖
hxgl,1=花光
hxgo,1=划过
hxgr,1=花冠
hxgs,1=化工
hxgu,1=花鼓
hxgv,1=划归
hxgw,1=欢欣鼓舞
hxhb,1=混淆黑白
hxhe,1=化合
hxhf,1=划痕
hxhr,1=花环
hxhs,1=花红
hxhv,1=花卉
hxhx,1=画画
hxhy,1=活血化瘀
hxia,1=花茶
hxie,1=花车
hxig,1=化成
hxii,1=花痴
hxil,1=候选窗
hxiq,1=红杏出墙
hxir,1=划船
hxiu,1=画出
hxji,1=滑稽
hxjk,1=化境
hxjm,1=花剑
hxjn,1=花椒
hxjp,1=化解
hxjq,1=含笑九泉
hxjr,1=画卷
hxju,1=话剧
hxjx,1=画家
hxkd,1=花开
hxkj,1=画刊
hxkr,1=划款
hxku,1=哗
hxkv,1=花魁
hxla,1=哗啦
hxlb,1=花心萝卜
hxlc,1=话唠
hxle,1=花了
hxlh,1=画廊
hxli,1=华丽
hxlj,1=花篮
hxlm,1=花脸
hxln,1=化疗
hxlo,1=滑落
hxlt,1=虎穴龙潭
hxlw,1=花蕾
hxly,1=滑轮
hxmb,1=好心没好报
hxmi,1=花蜜
hxmk,1=化名
hxmm,1=画面
hxmu,1=花木
hxmw,1=华美
hxnj,1=华南
hxnk,1=婳
hxnn,1=花鸟
hxny,1=花香鸟语
hxpc,1=花炮
hxpf,1=花盆
hxpi,1=画皮
hxpk,1=花瓶
hxpo,1=滑坡
hxpr,1=含血喷人
hxpu,1=花圃
hxqg,1=猾
hxqi,1=花期
hxql,1=回想起来
hxqm,1=花钱
hxqn,1=华侨
hxqr,1=花圈
hxqu,1=花去
hxrb,1=化
hxrf,1=华人
hxrj,1=哗然
hxrk,1=含辛茹苦
hxru,1=华
hxrv,1=花蕊
hxry,1=滑润
hxsa,1=花洒
hxse,1=花色
hxsq,1=灰心丧气
hxsr,1=划算
hxti,1=话题
hxto,1=华佗
hxts,1=话筒
hxtu,1=画图
hxtw,1=互相推诿
hxtx,1=横行天下
hxtz,1=滑头
hxua,1=华沙
hxuc,1=花哨
hxuf,1=化身
hxug,1=花生
hxuh,1=画上
hxui,1=化石
hxuj,1=华山
hxuo,1=话说
hxut,1=混淆视听
hxuu,1=花束
hxvc,1=花招
hxvf,1=回形针
hxvi,1=画质
hxvj,1=画展
hxvl,1=化妆
hxvr,1=划转
hxvs,1=华中
hxvy,1=回心转意
hxwd,1=化外
hxwf,1=花纹
hxwu,1=话务
hxww,1=化为
hxwy,1=化险为夷
hxxb,1=花心
hxxh,1=好行小惠
hxxi,1=华西
hxxk,1=滑行
hxxl,1=花香
hxxm,1=化纤
hxxn,1=花销
hxxt,1=化学
hxxu,1=花絮
hxxx,1=华夏
hxya,1=画押
hxyb,1=话音
hxyc,1=互相依存
hxyh,1=花样
hxyi,1=华裔
hxyj,1=化验
hxyk,1=话
hxyq,1=沆瀣一气
hxyr,1=花园
hxyu,1=话语
hxyx,1=会心一笑
hxzi,1=黑匣子
hxzl,1=河西走廊
hxzo,1=化作
hxzt,1=好戏在后头
hyan,1=昏暗
hybj,1=很一般
hybm,1=红颜薄命
hybq,1=怀冤抱屈
hybu,1=还有不少
hybv,1=很有帮助
hyby,1=很有必要
hycb,1=毁誉参半
hycd,1=荤菜
hyci,1=荤
hydb,1=混
hydc,1=昏倒
hyde,1=好样的
hydh,1=好勇斗狠
hydi,1=浑
hydj,1=混蛋
hydl,1=很有道理
hydr,1=魂断
hydu,1=溷
hydy,1=混沌
hyeg,1=魂
hyew,1=和衣而卧
hyfh,1=混纺
hyfq,1=获益匪浅
hyfw,1=会议费
hyfx,1=花样翻新
hyfz,1=婚否
hyge,1=混个
hygv,1=魂归
hyhc,1=诨号
hyhe,1=混合
hyhj,1=忽远忽近
hyhl,1=昏黄
hyhu,1=红颜祸水
hyhw,1=昏黑
hyhx,1=昏花
hyhy,1=混混
hyhz,1=婚后
hyif,1=昏沉
hyig,1=混成
hyjb,1=混进
hyjd,1=何以见得
hyjh,1=含英咀华
hyji,1=混迹
hyjj,1=火眼金睛
hyjm,1=婚检
hyjp,1=婚介
hyjq,1=喊冤叫屈
hyjt,1=昏厥
hyjx,1=婚嫁
hyjy,1=昏君
hykn,1=很有可能
hykv,1=昏聩
hyli,1=婚礼
hylm,1=婚恋
hylr,1=混乱
hylu,1=回忆录
hyly,1=胡言乱语
hymi,1=昏迷
hymo,1=阍
hynh,1=花样年华
hyno,1=婚
hyns,1=含饴弄孙
hypb,1=混拼
hypd,1=混排
hypo,1=魂魄
hypw,1=婚配
hypy,1=汉语拼音
hyqh,1=后院起火
hyqi,1=婚期
hyqk,1=婚庆
hyqm,1=婚前
hyqr,1=黑眼圈
hyqu,1=婚娶
hyqy,1=花言巧语
hyrj,1=浑然
hyru,1=混入
hysh,1=婚丧
hysu,1=婚俗
hyts,1=混同
hyty,1=馄饨
hyua,1=婚纱
hyub,1=馄
hyuf,1=浑身
hyui,1=婚事
hyul,1=混双
hyuo,1=昏
hyuv,1=昏睡
hyvg,1=后遗症
hyvh,1=混账
hyvj,1=混战
hyvo,1=浑浊
hyvy,1=豪言壮语
hywi,1=厚颜无耻
hywl,1=话音未落
hywq,1=花冤枉钱
hyxk,1=荤腥
hyxl,1=混响
hyxn,1=混淆
hyxo,1=惛
hyxq,1=好言相劝
hyxr,1=昏眩
hyxt,1=混血
hyyb,1=婚姻
hyyd,1=毁于一旦
hyyi,1=诨
hyyj,1=婚宴
hyyr,1=浑圆
hyys,1=昏庸
hyyt,1=婚约
hyyu,1=婚育
hyyy,1=很有意义
hyza,1=混杂
hyzd,1=混在
hyzi,1=旱鸭子
hzai,1=厚爱
hzak,1=鲘
hzbm,1=后边
hzbo,1=厚薄
hzbu,1=候补
hzbw,1=后备
hzdc,1=厚道
hzdd,1=后代
hzdu,1=厚度
hzdy,1=后盾
hzdz,1=何足道哉
hzen,1=厚恩
hzey,1=涸泽而渔
hzfh,1=后方
hzfw,1=胡作非为
hzgf,1=后跟
hzgi,1=何足挂齿
hzgk,1=骺
hzgo,1=后果
hzgr,1=喉管
hzgs,1=后宫
hzhb,1=合作伙伴
hzhr,1=后患
hzhu,1=洪泽湖
hzhv,1=后悔
hzhx,1=后话
hzhz,1=厚厚
hzie,1=候车
hzif,1=后尘
hzih,1=后场
hziw,1=猴子称大王
hziz,1=厚
hzjb,1=后劲
hzji,1=候机
hzjn,1=后脚
hzjp,1=喉结
hzjt,1=侯爵
hzju,1=𬭤
hzku,1=喉
hzkv,1=吼
hzld,1=后来
hzlh,1=合纵连横
hzli,1=厚礼
hzls,1=喉咙
hzlu,1=后路
hzly,1=后轮
hzma,1=后妈
hzmf,1=后门
hzmm,1=后面
hzmu,1=后母
hznc,1=后脑
hznl,1=后娘
hznm,1=后年
hznn,1=候鸟
hzpa,1=后怕
hzpd,1=后排
hzpe,1=郈
hzpk,1=后
hzpt,1=垕
hzqb,1=后勤
hzqi,1=后期
hzqu,1=猴
hzqy,1=合资企业
hzrf,1=后人
hzri,1=后日
hzru,1=侯
hzsi,1=后嗣
hztd,1=后台
hztm,1=后天
hztu,1=堠
hztv,1=后退
hztz,1=后头
hzue,1=喉舌
hzuf,1=候审
hzug,1=后生
hzui,1=后世
hzuz,1=后手
hzve,1=后者
hzvi,1=后置
hzvr,1=后传
hzvs,1=厚重
hzvu,1=篌
hzvv,1=后缀
hzvy,1=何罪之有
hzwf,1=后文
hzwh,1=厚望
hzwq,1=何足为奇
hzwv,1=好自为之
hzww,1=后卫
hzxa,1=鲎
hzxi,1=猴戏
hzxn,1=后效
hzxr,1=候选
hzxu,1=后续
hzyh,1=后仰
hzyi,1=后裔
hzyj,1=后延
hzyr,1=后院
hzyu,1=活字印刷
hzzh,1=厚葬
hzzi,1=猴子
hzzk,1=齁
hzzo,1=后座
iaba,1=插拔
iabe,1=岔
iabj,1=查办
iabn,1=查表
iabo,1=插播
iabp,1=差别
iabw,1=茶杯
iabx,1=察
iacc,1=插槽
iacm,1=茶
iaco,1=差错
iact,1=茬
iadc,1=岔道
iadg,1=差等
iadi,1=汊
iadm,1=差点
iadu,1=查毒
iadv,1=插队
iaea,1=嵖
iaee,1=差额
iafg,1=查封
iafj,1=茶饭
iafm,1=搽
iagh,1=查岗
iago,1=查过
iagr,1=茶馆
iagz,1=茶垢
iahc,1=插好
iahe,1=查核
iaho,1=查获
iahu,1=茶壶
iahx,1=插话
iaia,1=查查
iaic,1=查抄
iaie,1=叉车
iaii,1=差池
iaiu,1=查处
iajb,1=差劲
iaji,1=茶几
iajj,1=锸
iajm,1=插件
iajt,1=察觉
iaju,1=差距
iajx,1=差价
iakc,1=查考
iakd,1=岔开
iakj,1=查看
iaks,1=插孔
iakx,1=嚓
iakz,1=插口
iald,1=尘埃落定
iale,1=差了
ialu,1=岔路
ialz,1=茶楼
iama,1=楂
iamg,1=槎
iami,1=杈
iamk,1=查明
iamx,1=檫
iana,1=刹那
ianq,1=姹
iapi,1=衩
iapk,1=差评
iapn,1=查票
iaqa,1=猹
iaqi,1=岔气
iaqm,1=差钱
iaqu,1=插曲
iarq,1=侘
iaru,1=插入
iatq,1=垞
iatu,1=插图
iatz,1=插头
iaua,1=查杀
iauc,1=叉烧
iaue,1=茶社
iauh,1=插上
iaui,1=查实
iauu,1=茶树
iauv,1=茶水
iauz,1=查收
iavc,1=查找
iavg,1=查证
iavh,1=查账
iavz,1=茶轴
iawf,1=查问
iawj,1=茶碗
iaxd,1=刹
iaxn,1=插销
iaxp,1=差些
iaxu,1=插叙
iaxx,1=查下
iaxy,1=查询
iayc,1=叉腰
iayd,1=叉
iaye,1=茶叶
iayg,1=差
iayh,1=插秧
iayi,1=差异
iayj,1=查验
iayq,1=诧
iayr,1=茶园
iayt,1=查阅
iazd,1=插在
iazi,1=叉子
iazo,1=插座
iazu,1=插足
iazv,1=插嘴
ibal,1=除暴安良
ibbn,1=吃不饱穿不暖
ibdl,1=差不多了
ibdo,1=差不多
ibds,1=吃不到葡萄说葡萄酸
ibdu,1=成败得失
ibgk,1=丑八怪
ibgq,1=喘不过气
ibgr,1=吃不惯
ibhz,1=吃饱喝足
ibii,1=吃不吃
ibkd,1=吃不开
ibkw,1=臭不可闻
ibld,1=吃饱了撑的
ible,1=吃饱了
iblh,1=成不了气候
ibll,1=储备粮
iblt,1=秤不离砣
iblv,1=吃饱了撑着
iblz,1=吃不了兜着走
ibmg,1=吃闭门羹
ibtd,1=差不太多
ibue,1=出版社
ibuj,1=长白山
ibuq,1=成百上千
ibuv,1=赤膊上阵
ibxn,1=吃不消
ibxq,1=吃不下去
ibxx,1=吃不下
ibzj,1=成败在此一举
icbc,1=抄报
icbd,1=朝拜
icbf,1=抄本
icbm,1=超编
icbn,1=超标
icbo,1=超薄
icbw,1=朝北
iccd,1=炒菜
icda,1=超大
icdc,1=超导
icdd,1=朝代
icdi,1=抄底
icdn,1=炒掉
icdp,1=超跌
icds,1=朝东
icdu,1=超度
icee,1=超额
icfg,1=嘲讽
icfj,1=炒饭
icfu,1=朝服
icgh,1=朝纲
icgk,1=弨
icgo,1=超过
icgs,1=朝贡
icgu,1=炒股
ichs,1=潮红
ichu,1=焯
ichv,1=朝会
ichz,1=朝后
icie,1=超车
icih,1=超常
iciu,1=超出
icjh,1=趁此机会
icji,1=超级
icjm,1=朝见
icjt,1=超绝
icju,1=钞
icjx,1=吵架
icjy,1=重操旧业
ickk,1=超快
icko,1=嘲
icld,1=陈词滥调
icle,1=炒了
iclk,1=超龄
iclq,1=潮流
iclu,1=抄录
icmd,1=超买
icmi,1=炒米
icmm,1=炒面
icnc,1=吵闹
icnj,1=朝南
icns,1=嘲弄
icod,1=晁
icpb,1=超频
icpn,1=钞票
icql,1=超强
icqm,1=超前
icqy,1=超群
icrf,1=超人
icrh,1=吵嚷
icrj,1=超然
icss,1=抄送
icsu,1=超速
ictk,1=朝廷
ictm,1=朝天
icto,1=超脱
icug,1=超生
icuh,1=朝上
icui,1=超市
icul,1=超爽
icuo,1=朝
icuv,1=潮水
icvd,1=剿
icve,1=朝着
icvg,1=朝政
icvi,1=超支
icvs,1=超重
icvw,1=除此之外
icvz,1=潮州
icwd,1=朝外
icxc,1=出此下策
icxi,1=抄袭
icxk,1=吵醒
icxl,1=朝向
icxm,1=朝鲜
icxn,1=嘲笑
icxp,1=抄写
icxt,1=巢穴
icxx,1=朝下
icxy,1=潮汛
icyc,1=吃错药
icye,1=朝野
icyh,1=朝阳
icyl,1=吃错药了
icyr,1=超员
icys,1=潮涌
icyt,1=超越
icyw,1=长此以往
iczd,1=超载
iczo,1=炒作
iczv,1=吵嘴
idbg,1=瘥
idbx,1=拆东补西
idcc,1=柴草
